# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6.4

ago19.fly, long, 0000000000000001
warp::ancientcity, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809406306FE5BE4006C017909C024000000000000017A09C06C81399B1B4976057069746368084235CCCA0379617708C212ECD0
warp::casa, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094065E846C151300B0179094061A00000000000017A09C06CB76B034F83A405706974636808BFF99D9D037961770842B564C6
warp::farm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094073345363A295710179094067000000000000017A09C0733701829C8045057069746368083E9997CE037961770842B51807
warp::hub, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094068672E0A7C902B0179094061600000000000017A09C075A9B1E673552205706974636808C0499B33037961770842B4319C
warp::ifarm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094071D612F7E0EF7A0179094062A00000000000017A09C0788FBA270544F1057069746368083F22804B0379617708C2B2699F
warp::mare, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809409798BC2D29CE2A017909404F800000000000017A09C092AA1992FA648A05706974636808C0A333E70379617708C2B168A0
warp::mercato, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809406135C6617027960179094054800000000000017A09C0747154D8119F1605706974636808C0E6678D037961770842BB7FE4
warp::palude, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809408C526528435D950179094050000000000000017A09C09A816FB7837A620570697463680841B636680379617708C2F38DC0
warp::portale, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940532D6392F7359A0179094055000000000000017A09C079E4E46D1F9CE505706974636808C0A7FFB20379617708C2B46808
warp::skeletons, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809405AD371B1F1ECBC0179094046800000000000017A09C074A4CCCCD00000057069746368083F6664970379617708C2B387A0
warp::villager, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094069D666666000000179094050800000000000017A09C074057F9BD980A6057069746368084040C45F037961770842B623A0
warp::wfarm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940731B8051BBFBE40179094061E00000000000017A09C07BBB11FAD936DE0570697463680840EB325B0379617708C310F3CD
warp.casa, location, 8605776F726C6480FF0000000181046E616D65208005776F726C640178094065ECDC384327BC0179094061A00000000000017A09C06CB2DC38E641C005706974636808BF666B57037961770842B2B1D8
warp.farm, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809407333E3E27820D30179094067000000000000017A09C07337E7AA9EE29C05706974636808BF400075037961770842B81812
warp.hub, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940686B8070AC5D460179094061600000000000017A09C075A9999464C24805706974636808C0700148037961770842B397F2

