# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0-beta2

ago19.fly, long, 0000000000000000
balance.2zoaygkguns, long, 0000000000000000
balance.5qbs1xdxjp4, long, 0000000000000000
balance.8d0npfxfjyq, long, 0000000000000000
balance.ago19, double, 40C050599999999A
balance.emywlj4jog5, long, 0000000000000000
balance.irc0lb6b7yc, long, 0000000000000000
balance.lxhq2ykytpt, long, 0000000000000000
balance.mwo2hm4mxlp, long, 0000000000000000
balance.nvrpg8d8lqe, long, 0000000000000000
balance.trvfzyjyoqx, long, 0000000000000000
balance.v3zltn8npd_, long, 0000000000000000
balance.vg5wjjhjirq, long, 0000000000000000
balance.vkpgz0m0gjv, long, 0000000000000000
balance.xq8gksvsn46, long, 0000000000000000
balance.xxrogxx, double, 40C0B0A3D70A3D70
bankbalance.xxrogxx, long, 0000000000000000
deathpos.ago19, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940755BBDAC48132B0179094064D23EB6E37515017A09C072DABF2F0B8199057069746368084168CBB4037961770842F8E4E8
deathpos.xxrogxx, location, 8605776F726C6480FF0000000181046E616D65208005776F726C6401780940645C6477C213F80179094067035082232336017A09C076FF37350F23E3057069746368083F19B9580379617708C29DE2AC
shop.material.amount.item:apple:0*1, long, 0000000000000001
shop.material.amount.item:baked_potato:0*1, long, 0000000000000001
shop.material.amount.item:beef:0*1, long, 0000000000000001
shop.material.amount.item:bone_meal:0*1, long, 0000000000000040
shop.material.amount.item:calcite:0*1, long, 0000000000000020
shop.material.amount.item:carrot:0*1, long, 0000000000000001
shop.material.amount.item:charcoal:0*1, long, 0000000000000001
shop.material.amount.item:chicken:0*1, long, 0000000000000001
shop.material.amount.item:coal:0*1, long, 0000000000000001
shop.material.amount.item:cobblestone:0*1, long, 0000000000000001
shop.material.amount.item:diamond:0*1, long, 0000000000000001
shop.material.amount.item:dirt:0*1, long, 0000000000000001
shop.material.amount.item:egg:0*1, long, 0000000000000001
shop.material.amount.item:elytra:0*1, long, 0000000000000001
shop.material.amount.item:emerald:0*1, long, 0000000000000001
shop.material.amount.item:ender_pearl:0*1, long, 0000000000000001
shop.material.amount.item:feather:0*1, long, 0000000000000001
shop.material.amount.item:gold_ingot:0*1, long, 0000000000000001
shop.material.amount.item:iron_ingot:0*1, long, 0000000000000001
shop.material.amount.item:leather:0*1, long, 0000000000000001
shop.material.amount.item:melon_seeds:0*1, long, 0000000000000001
shop.material.amount.item:melon_slice:0*1, long, 0000000000000001
shop.material.amount.item:oak_log:0*1, long, 0000000000000001
shop.material.amount.item:obsidian:0*1, long, 0000000000000001
shop.material.amount.item:poisonous_potato:0*1, long, 0000000000000001
shop.material.amount.item:porkchop:0*1, long, 0000000000000001
shop.material.amount.item:potato:0*1, long, 0000000000000001
shop.material.amount.item:quartz:0*1, long, 0000000000000001
shop.material.amount.item:quartz_block:0*1, long, 0000000000000001
shop.material.amount.item:stone:0*1, long, 0000000000000001
shop.material.amount.item:wheat:0*1, long, 0000000000000001
shop.material.price.item:apple:0*1, double, 4000CCCCCCCCCCCD
shop.material.price.item:baked_potato:0*1, double, 3FF199999999999A
shop.material.price.item:beef:0*1, double, 400C000000000000
shop.material.price.item:bone_meal:0*1, long, 0000000000000019
shop.material.price.item:calcite:0*1, double, 4036666666666666
shop.material.price.item:carrot:0*1, double, 3FE199999999999A
shop.material.price.item:charcoal:0*1, double, 40204CCCCCCCCCCD
